sent0,sent1
"Για να δείτε μερικές από τις επιπτώσεις του Cluny στη γύρω ύπαιθρο, επισκεφθείτε μερικά από τα χωριά των οποίων οι Ρωμαϊκές εκκλησίες έχουν χτιστεί από τους αρχιτέκτονες του Cluny και μεταξύ αυτών είναι οι, Saint-Vincent-des-Pres, Taize, Berze-la-Ville και Malay.",Visit some villages.
Рекомендуются только походы в сопровождении гидов из местного путеводительного кооператива.,You should probably only hike with a guide.
"Şu anda düşünce, bu küçük, daha az gelişmiş adaları barış içinde bırakma belki de en iyisidir.",People think the islands should be left alone.
"Mkazi aliyetoka kutoka ziara ya kuongozwa , kwa njia ya ajabu, wengine hufanya, kutokana na kukumbuka , walisema kuwa chakula kilikuwa kizuri kuliko ya hoteli nyingi za San Francisco.",One guy in jail said he liked the jail food a lot.
"Даже в эти ранние времена, вынося свои приговоры со Скалы Сибил, боги советовались с оракулом.",The gods talked to the oracle.
Baixada de Santa Eulalia ย้ายไปที่ carrer dels Banys Nou ซึ่งเป็นที่ตั้งของห้องอาบน้ำหายไปนานที่ได้สร้างขึ้นในศตวรรษที่ 12,Carrer dels Banys Nous is named for baths.
"Một khi bạn rời khỏi các khu vực giao thông chủ chốt, bạn sẽ thấy khu phố cổ của Albufeira bảo tồn nét đẹp truyền thống một cách đáng ngạc nhiên.",Albuferia is quaint.
"Proche de l'action à l'origine et toujours le témoignage le plus vivant de l'époque du Klondike, la ville-phare qu'est Dawson City laissa le statut de capitale territoriale au centre de transport et de communications qu'est Whitehorse en 1951.",Whitehorse was territorial capital.
Αυτό ήταν το νησί που αγόρασε ο Errol Flynn όταν εγκαταστάθηκε στο Port Antonio το 1946,Errol Flynn bought an island.
"Cala Mondrago est pratiquement inexploité (selon les normes de la côte de Majorque), et pourrait rester ainsi sur ordre du gouvernement régional, qui est devenu alarmé par le spectre de la construction incontrôlée le long de la côte.",Cala Mondrage is not developed.
"В нем есть три усыпальницы, увенчанные Меру, посвященные Брахме, Шиве и Вишну.",There are three shrines dedicated to various deities.
"Λιγότερο από ένα μίλι μετά το Arboretum, θα βρείτε δυο εκκλησίες στη δεξιά πλευρά του δρόμου, υποστηριζόμενες από εκατοντάδες οικογενειακούς τάφους βαμμένους λευκούς, στην πλαγιά του λόφου.",Two churches can be found on the right side of the road.
Το Stampede επινοήθηκε αρχικά για να δείξει όλες τις τεχνικές και τον ενθουσιασμό της συγκέντρωσης των βοοειδών στα λιβάδια.,The Stampede was intended to show cattle roping techniques.
"Почти 100 000 души идват тук всеки ден, за да се възхищават на поразителната архитектура и да разглеждат най-новите атракции в този непрекъснато променящ се град.",Nearly 100 thousand people come to check out the city every day.
باؤکس آرٹس سٹی ہال کو قریبی گورنمنٹ سینٹر کی طرف سے تبدیل کردیا گیا ہے,The city hall was replaced by a government center.
خلف الفندق ، ما بعد تمثال عام عام 1898 لصمويل دي شامبلين ، مؤسس المدينة ، يقدم دوفرين تيراس إطلالة رائعة على سانت لورانس و داون ريفر حتى أيل دو اورليانز.,The statue of the city founder was built in 1898.
นอกเหนือจากปายางันแล้ว ถนนที่เคยใช้เล็กน้อยลัดเลาะทางของมันผ่านชนบทอันงดงามตลอดทางไปยังบาเทอร์ (ดูหน้า 59),The road goes from Payangan to Batur.
"Taasisi ya Teknolojia ya Massachusetts (MIT), iliyoanzishwa mwaka wa 1861 inaongoza katika sayansi na uhandisi wa Marekani ambao umesababisha teknolojia nyingi za kisasa, kutoka upigaji picha wa stroboscopic  kwa michakato ya kuhifadhi chakula.",MIT was founded in 1861.
"Seis kilómetros (4 millas) al norte de Ipoh es el Perak Tong, construido en 1926 por un sacerdote budista de China.",The Perak Tong was built by a Buddhist priest.
"Kodaly kerend (Kodaly crescent, benannt nach einem anderen ungarischen Komponisten) ist ein prächtiges Ensemble, dessen geschwungene Fassaden mit klassischen Bildern und eingelegten Motiven geschmückt sind.",Kodaly kerend is decorate with Classical gures and inlaid motifs.
خطط لاقامة البرلمان هنا بعد الاستقلال جاء إلى لا شيء,The Parliament was never housed here.
ہر مقامی طور پر تیار کرافٹ کی مثالیں یہاں بہت زیادہ مقدار میں پایا جا سکتا ہے،اور آپ ریزورٹس کے مقابلے میں سستی کی دکانیں خریدیں گے، خاص طور پر اگر آپ اپنے بارٹرنگ کی مہارت سے پہلے مشق کرتے ہیں.,It's cheaper to buy stuff here.
La regla de 60 años de Ramsés II (1279-1212 b.c.) fue un gran final para la era del Nuevo Reino.,Ramses II was leader for decades.
"От въздуха ще можете да видите, че Саравак се гордее с най-дългата река в страната - Реджанг, която тече в продължение на 563 км, от планините на индонезийската граница до Южнокитайско море.",The Rejan is over 300 miles long.
ایک طرف سرنگ باورچی خانے کے الکو کے ساتھ ایک طرف، اور دوسرے پر اسٹوریج الکوز، اہم رہنے والے علاقے کی طرف جاتا ہے,The living area is through a tunnel.
نیشنل تھیٹر اور کنسرٹ ہال، ٹیلی فون. 01-7282333، عام طور پر میگون کے طور پر جانا جاتا ہے، ویس پر واقع ہے.,The Megaron is a concert hall.
"Auch wenn ein Interesse an amerikanischer Politik hilfreich ist, die Ausstellungsstücke, welches ermöglichen, ein Watergate-Tonband anzuhören oder Nixon zu Auslandsfragen zu interviewen, sind in jedem Fall interessant.",You can hear the Watergate tape for yourself.
"नगर के अन्य विशाल रोमन स्मारक, थियेटर एंटीक, नगर के दक्षिण की ओर है।",The theater is towards the south side.
ตึกถูกก่อตั้งอยู่ด้านบนบริเวณรถไฟใต้ดินของป้อมยามของกองกำลังกึ่งทหารเอสเอส ภูมิประเทศของความหวาดกลัว เป็นการจัดงานแสดงของช่างภาพและสารคดีที่เป็นภาพเคลื่อนไหวของผู้ที่ยืนหยัดต่อต้านความรุนแรงของนาซี,The building was over the SS guard houses.
"अगर और जब यह प्रोजेक्ट पूरा होगा, यह संपूर्ण श्रृंखला का सबसे रोचक होगा।",This is a fascinating project.
ہاتھ سے بنایا کاریں شہر کا سب سے بہترین پیارا تعلق ہے،اور نظام کو 1 964 میں ایک قومی تاریخی تاریخی نشان قرار دیا گیا تھا.,The cars get a lot of visitors.
"Durgunluk döneminde, ülkenin açlığa yakın olan en fakir iliydi.",The province was close to starvation during the Depression.
Олимпиадата през 1992 г. утвърди репутацията на Барселона като спортен град.,The Olympics were in Spain in 1992.
漫步甲板，并与扮演水手和朝圣者角色的演员交谈。,The parts of sailor and pilgrims are filled by actors.
Tính năng huyền thoại nhất của tòa nhà là thời tiết châu chấu.,There is a weathervane on top of the building.
للإقامات الطويلة، يوفر مكتب المعلومات خرائط تفصيلية لشبكة كيتيكوو الرائعة للممرات المائية المتشابكة.,There are a lot of waterways in Quetico.
裴塔蜿蜒曲折通往香港公园。,The Hong Kong Park was a path that goes to it.
Το ανυψωτικό κάθισμα είναι ένα μεγάλο πλεονέκτημα.,Everyone likes the chairlift.
"Pour plus d'informations, appelez le (213) 623-2489 en semaine entre 9h et 17h.",The phone line is manned on weekdays.
岛上的宁静一直持续到1287年，阿拉贡的阿方索三世为他的贵族们的一系列屈辱而感到痛苦，他找到了入侵的借口。,The island was very quiet.
"स्तंभों के ऊपर एक प्लेटफॉर्म पर चक-मूल की एक नक्काशीदार स्थिति है,यह पेट को एक कटोरे  के रूप में खोखले कुछ प्राप्त करने के लिए होता हैं  विशेषज्ञों का मानना है कि इसमें शरीर से मानव हृदय ताजा शामिल होता है |",Chaac-Mool got offerings from people.
Η μεγαλύτερη πόλη στη νότια ακτή της λίμνης είναι η Siefok.,Siefok is on the south coast.
"शहर के बीच में एक गोथिक पोर्टिको से, बड़े पैमाने पर 13 वीं acentury घंटाघर के बगल में, 90 कदम की एक सीढ़ी आप गर्भगृह के 11 वीं सदी कांस्य दरवाजे की ओर नीचे जाते है।",There are 90 steps.
"Họ thích giao lưu xã hội, và các quán bar đặc biệt là các quán bar nâu nổi tiếng là nơi họ gặp gỡ, thường là để đưa thế giới đi đúng hướng.",They like to hang out with people.
Управление происходит просто путем поднятия руками двух деревянных досок.,Two planks get lifted.
दूसरे टॉवर में असीम और भयानक आधुनिक टोरंटो स्टॉक एक्सचेंज हैं।,The second tower has the stock exchange in it.
بسیں یا اس ایڈیور مکاؤبیچ پر اسٹیشن پر یا تو ایک ہی ایونیو پر ڈیلیجنسی ڈیل گیبیرنو عمارت کے خلاف چھوٹی سی نیلے بسوں کے معاملے میں.,The buses top at one of two stations.
"От другата страна на площада се намират задните улици на Лалели – мястото, където да се търсят евтини дрехи.",Cheap clothes are for sale in Laleli.
สามารถเล่นสเก็ตในที่ร่มได้ที่ Ditan Ice Arena ใน Ditan Park และที่ศูนย์การค้าใต้ดินที่เชื่อมกับโรงแรม Traders and China World (1 Jianguomenwai Dajie).,You can skate indoor in a couple of places.
"C'était une arme redoutable, mais qui était si lourde qu'elle ne pouvait être transportée que de 5 km (3 miles) par jour",It was very heavy
"Die Liao Hauptstadt in Peking, damals bekannt als Yanjing, füllte die südöstliche Region der heutigen Hauptstadt aus, mit dem Fayuan-Tempel als einzigem erhaltenen Denkmal.",The Fayuan Temple from the Liao capital is still standing today.
Xem danh sách các điểm nổi bật của bãi biển ở trang 82 và 85.,There is a list about beaches.
"इस बीच, कैल्दास डी मॉन्किक पिकनिक तथा जंगल में टहलने के लिए एक अच्छी जगह है।",There are woods around Caldas de Monchique.
Μπορείτε να περπατήσετε τα καταστρώματα ή ακόμα να κάνετε μια κρουαζιέρα διάρκειας δύο ωρών με αυτό το αντίγραφο του περίφημου ιστιοπλοϊκού πρωταθλήματος του 1921 που απεικονίζεται στο καναδικό νόμισμα δέκα λεπτών.,The cruise is two hours long.
Wageni katika sehemu ya wigo hutiwa moyo kuzitumia mashine tofauti na kushiriki katika majaribio ya kisayansi.,The Spectrum section has an area to manipulate various machines.
"Yine de, geçtiğimiz yüzyıllarda, burası, en yakın koloni kuvvetleri olan Havana, San Juan, Porto Riko'da ve Panama City'de koloni derebeylerinin güçlerinden uzak bir yer olarak Karayip korsanlarının yuvasıydı.",There were pirates in the Carribbean.
"Turizm ofisleri L'Estrie bölgesini yeniden adlandırmaya çalıştılar ancak en militan Quebecli bile Cantons de l'Est'in doğrudan, daha yaklaşık çevirisini tercih eder.",The tourism people want to give the area a new name.
照你的方法，你会通过the Palace of Fine Arts，这是巴拿马-太平洋国际博览会的再现。,The Palace of Fine Arts was restored.
Ngôi nhà góc số 8 cho đến gần đây là dinh thự chính thức của tổng thống Tổng thống.,Number 8 was on the corner.
"धार्मिक धर्मनिष्ठा के दो सदियों बाद, चर्च को एक आध्यात्मिक नवीकरण की आवश्यकता थी,असीसी के फ्रांसिस (1182-1226) में सही सहयोगी को खोजना |",The Church was close with Francis of Assisi.
"चूंकि यह चोटियों और धारियों के ऊपर और नीचे गिरता है, दीवार एक चुनौतीपूर्ण स्थलाकृति के अनुरूप है, जिसपर कई पर्यटक हांफते हैं।",The wall goes up and down the mountains.
لكن مع كل هذا الرزمات الجديدة ، لم ينس المتحف سحر السيارات العتيقة القديمة ، ولا سيما محركات القطارات القديمة من حقبة البخار العظيمة التي صنعت كندا حقا.,The museum has antique cars.
马德里的西班牙老大师贝拉斯克斯、埃尔格列柯、戈雅、祖尔巴烂等等的收藏在世界上是无与伦比的。,Madrid has the best collection
Bảo tàng Hàng hải theo dấu lịch sử của hải cảng Thái Bình Dương.,The Maritime Museum deals with history.
29 للأثاث والفضة ، شركة تاي سينغ عند 122 للخزف.,Porcelain was more than furniture and silver.
"Kilomita 7 utaona kugeuka kulia kwa kozi ya ghorofa ya Pok-Ta-Pok ya mashimo 18, ambayo iko kwenye eneo kubwa la ardhi ambalo linakwenda kwenye wangwa.",Pok-Ta-Pok has 18 holes of golf to play.
Dam Square haikugusa bahari kwa mara ya kwanza katika historia yake.,Dam Square  didn't used to be landlocked.
"Colonia de Sant Jordi está llena de hoteles y villas, pero parece un intento a medias de convertirse en un resort.",The street has a lot of hotels.
"Bu tür botlar, gelen gemilere hızlı erişim sağlamak için geliştirildi.",Boats were developed to make it easy to get to incoming ships.
"Năm 1847, một cuộc nổi dậy tàn khốc, còn được gọi là Cuộc chiến Caste, đã chứng kiến những người nổi dậy Maya tàn sát những dân định cư da trắng và nắm quyền kiểm soát gần hai phần ba bán đảo.",The Caste War involved the Mayans.
Les semnopithèques obscurs et les macaques à longue queue font partie de la faune sauvage.,They have monkeys there.
آپ مختلف سائز اور مختلف سجاوٹ کے ساتھ ان کو دیکھیں کریں گے,They are decorated.
ข้าง ๆ Xlapak นั้นมีโครงสร้างแค่ที่เดียวคือปราสาท แต่ Labna ที่ตั้ง Puuc สุดท้ายในทัวร์นั้นมีโคงสร้างมากมายให้เราได้ดูกัน,Xlapak has one palace.
"El edificio une dos iglesias idénticas, la Franzoesischer Dom (o catedral francesa) al norte, construida para los inmigrantes hugonotes, y la Deutscher Dom (catedral alemana) al sur.",Two churches are the same.
يمكن للزوار أيضًا مشاهدة فيلم الوسائط المتعددة الافتراضي لمدة 28 دقيقة عن Barcino برشلونة.,Barcino-Barcelona is the focus of a virtual history multimedia film.
يتم تحذير المرء من تناول الطعام بشكل مفتوح ، حيث من المرجح أن ينظر القرود إلى هذه الدعوة على أنها دعوة لتناول الطعام.,You shouldn't eat food out in the open.
"Под мостовете в пристанището се намира малък остров, наречен Потър'с Кей.",Potter's Cay is a very small island.
"Амстердам има много аспекти, почти толкова, колкото и диамантите, с които е известен градът.",Amsterdam is famous.
"Если вы ищете кокосовый ром и прочие виды фруктового рома, здесь вы найдете гигантское разнообразие.",There are fruity rums.
"Сердце древних Афин было сосредоточено вокруг купола Акрополя, со святыми храмами, построенными на вершине скалы, и городом, построенным на её волнистых склонах.",Acropolis was the center and heart of ancient Athens.
"Kwenye madhabahu,fedha iliyanzira shimo zilikuwa [pote pote,Yesu akasem Msalaba uinuliwe pale na wezi wawili.",There were three people on crosses.
١٩٦٠ کی دہائی میں دریافت کی گئی کھلی جگہوں کے بارے میں اب خیال کیا جاتا ہے کہ وہ گیند والے کھیل کے لئے استعمال ہوتی تھیں، جس کا انڈین ثقاوت میں ایک اہم، اگرچہ ابھی تک صرف غلط سمجھا جانے والا، رسمی مقصد تھا.,They play ball in Indian culture.
"Lejos de la costa, se inclina un terreno lleno de pinos, mimosas, eucaliptos y brezos a una altitud de casi 915 m (3000 pies).",The terrain has slopes.
Visiwa vya Saronic vina msimu mrefu zaidi kutoka Aprili hadi Oktoba.,The Saronic islands have a distinct season.
"Стотици туристи на еднодневна почивка кръстосват между двата острова, жадни да свършат всичко преди да трябва да се върнат на лодката.",PEople go to the islands for a short time.
"Οι πλησιέστερες εγκαταστάσεις βρίσκονται στο όρος Παρνασσός (από το Δεκέμβριο έως το Μάρτιο), δύο ώρες με το αυτοκίνητο από την πόλη.",Mount Parnassus isn't a terribly long drive.
Вы сможете играть в рулетку или кости с лучшими игроками или забросить несколько монет в слот-машину.,You can gamble.
"Музеи отлично расположены, и многие предоставляют брошюры(обычно на немецком, но зачастую на английском и французском) с подробной информацией о выставках; вы найдёте коробки честности для оплаты разбросанные повсюду.",Museums are laid out well.
"Это новинка для Венгрии, поэтому для игры надо немного отъехать от города.",There is nowhere for new people to play in town.
Yollar keskin virajların etrafında dönüyor ve dalgalanmaların üzerinden yuvarlanıyor.,The road was curvy
آج بیجنگ میں اس کا تقریبا کوئی نشان نہیں ہے.,You can't see much of it left in Beijing.
许多州和地方政府都有额外的审计要求。,There are additional audit requirements issues by local governments.
Bilgi güvenliği grubu ayda 8 ila 12 seans gerçekleştiriyor.,The security group conducts multiple sessions a year.
Vorläufiges Ingenieurwesen wurde jedoch früher erreicht.,Engineering had a preliminary period.
وبدلاً من إنشاء منظمات معلومات مركزية أو لامركزية بالكامل ، تدير المنظمات الرائدة موارد المعلومات الخاصة بها من خلال مزيج من هذه الهياكل.,Organizations manage their information resources in several ways.
"Étant donné que le titre 7 exige que la validité des demandes de remboursement de frais de voyage soit établie avant la certification pour le paiement, nous croyons que l'énumération de toutes les dépenses individuellement sur le bon de voyage permet de satisfaire à cette exigence.",Title 7 deals with travel claims.
اس تجزیہ میں استعمال کردہ اصل مطالعات کی ہماری امتحان سے پتہ چلتا ہے کہ صحت کے خاتمے کے بارے میں جو کہ ممکنہ طور پر GAM کے مسائل سے متاثر ہوتا ہے وہ بیس اور متبادل تخمینوں میں ہسپتال کے داخلے میں کمی کا شکار ہیں.,Health endpoints reduced the number of people in some hospitals.
"फलस्वरूप, सरकार निर्णय निर्माताओं और प्रबंधकों सोच के नए तरीके अपना रहे है, लक्ष्यों को प्राप्त करने के विभिन्न तरीकों पर विचार करते हुए, और नई जानकारी का उपयोग कर निर्णय मार्गदर्शन करने को।",Government representatives are changing their approach.
"Falldateien müssen möglicherweise für Kunden übersetzt werden, die eine andere Sprache als Englisch sprechen.",Case files can be put in other languages.
"Bu, tek bir C-R fonksiyonu tarafından tanımlanan C-R ilişkileri ve çoklu C-R fonksiyonlarının bir araya getirilmesiyle tanımlananlar için geçerlidir.",There are a lot of C-R functions that work together.
Các nỗ lực khác hiện đang được tiến hành hoặc lên kế hoạch bao gồm,We have something planned.
"Ongeza mambo kama wakati mfupi, kufutwa kwa faili hailisi za kompyuta, na kukosa kufikia hati zinazohitajika.",They deleted the original computer files.
La Figura 4 muestra la curva de oferta de los servicios de trabajo compartido.,The workshare services have varying supply.
然后，另一位之前已经参观过的代表又拜访了新的供应商，解开了迷惑并且一起探讨了在索取样品上可能遇到的任何问题。,There was a visit by a representative.
"Сбережения не только влияет на накопленное богатство, но богатство в свою очередь влияет на склонность к сбережениям.",The choice of whether or not a person will save is affected by their wealth.
"उदाहरण के लिए, एक संस्था जिसको हमने अध्ययन किया था, उसमें दो विलयों हुआ था, जिसके कारण कंपनी को नए व्यवसायों को तेजी से एकीकृत करने और बढ्ती व्यापार की जरूरतों को पूरा करने के लिए पुनर्गठन की जरुरत हुआ।",We examined a company that experienced two mergers and had to quickly restructure to meet their business demands.
"дизайнът, ние бяхме загрижени, че плащането ще бъде разрешено, преди да се провери дали пътуването действително се е осъществило.",We thought the payment might go through before verification.
"Công nghệ được tích hợp chặt chẽ với các quy trình kinh doanh trong các tổ chức này bởi vì công nghệ được xem như là một yếu tố kích hoạt cho doanh nghiệp, không chỉ là một công cụ.",These businesses place a great emphasis on technology.
"Однако SAB обращается к этому вопросу, опираясь на актуальную литературу (Rossi et al.",The SAB talked about it.
作为一个简单的例子，假设工作共享的成本是10a，而基本邮件的成本是16a。,You can guess than the worksharing costs is less than basic mail.
ادب میں اکثر دو نظریات ظاہر ہوتے ہیں مستقبل میں تحقیق کو مطلع کرنے میں مفید ثابت ہوسکتے ہیں.,The literature can change the research in the future.
Die aus Kartons gezeichnete Linien zeigen den gesamt Wohlfahrtsniveau von allen Mailers an und die aus Diamanten gezeichnete Linien zeigen die technischen Verluste (falls negativ) wenn die Arbeit zu einer anderen Partei verlagert ist.,The lines show how much welfare is in all the mailers.
اس خطرے کی تشخیص کے مطابق، سنٹرلنک نے مخصوص روک تھام کی حکمت عملی کی ایک حد تیار کی ہے جس کا مقصد جانشینوں اور آجروں کو آمدنی کی رپورٹنگ کی ضروریات پر تعلیم دینا ہے.,Centrelink had a lot of strategies to teach people how to report income.
कंपनियां विनिर्माण उपकरण में अधिक महंगे निवेश और प्रदर्शन के चरण के लिए प्रोडक्शन प्रतिनिधि प्रोटोटाइप बनाने के लिए टूलींग की अनुमति दें इससे पहले इसके डिज़ाइन के प्रदर्शनों की अनुमति दी गयी |,Then they could show how the design worked.
"В противен случай ще се изпрати тревожно съобщение до служителите от Правителствената служба за отчетност, пресата и обществеността.",It's a bad message to send to the workers if you don't do that.
جنوبی کیرولینا کے باہمی تعاون کے ساتھ ساتھ دوسری کامیابیوں نے اگلے سال کی پیداوار کی,SC worked together.
"Ein Landangestellter wird zur Verfügung stehen, um die Prozessparteien bei ihren Nachforschungen zu unterstützen.",A county employee can help people
Mamlaka za CIO na maamuzi ya kuamua kufanya aina ya kazi ni sahihi kutafuta nje na aina gani ya kazi bora inafanywa kindani.,The CIO said which work was ok.
"Согласно члену Совета, сертификации подразделения 605(b) Совета не предоставлялись отдельно для Главного советника по защите интересов Управления по делам малых предприятий.",The Board didn't give the SBA certifications.
"เมื่อการแต่งงานเกิดขึ้นสำหรับโรงแรมและค่าใช้จ่ายอื่นๆ, จะต้องมีการยืนยันการเดินทางจริงจะเกิดขึ้น",The trip itself would be verified using hotel charges.
Los prototipos fueron utilizados por las empresas comerciales durante todo el proceso de desarrollo del producto y no sólo durante la integración del producto.,The commercial companies use prototypes.
"Корпоративният ИТ директор работи с други ИТ директори или други информационни мениджъри във всеки един от бизнес звената, за да осигури ефикасна, надеждна и оперативно съвместима технология за цялата корпорация.",The CIO trains other CIOs.
BLM bao gồm các tiêu chuẩn thành tích thành công toàn diện.,BLM put some information in there.
"Örneğin, ziyaret ettiğimiz bir ülkenin başkenti 600'den fazla yazılım şirketine ev sahipliği yapıyor.",One capital has a ton of software companies.
Die Aufnahme aller notwendigen Teile oder Elemente.,They have to include all the parts.
تقرر المنظمات الرائدة، كجزء من استراتيجياتها في تحديد المصادر، ما إذا كانت ستوفر خدمات تكنولوجيا المعلومات وخدمة التسيير مع الموظفين الداخليين أو مقدمي الخدمات الخارجيين.,Organizations decide if they're going to use in-house employees.
"В крайна сметка, главният изпълнителен директор контролира възлагането на отговорностите, свързани с информационните технологии и управлението им на шефа на ИТ отдела, на ИТ отдела и на други организационни единици.",The CEO tells people who gets what information.
سی آئی او تنظیم کو فروغ دینے کے ایک مسلسل عمل ہے جو کاروباری ضروریات کو پورا کرنے میں مدد کے لئے تنظیموں کی ذمہ داریاں کو واضح سمجھتے ہیں.,A CIO organization takes a long time to develop.
پچھلے حصے کے برعکس ، اس حصے میں سارے اعداد و شمار 1988 کے سال سے ہیں۔,The data is all from 1988 in that part.
"Экономия важна для накопления запаса богатства; общее правило — тот, кто никогда не экономит, никогда не достигнет благополучия.","If you don't save money, you won't have money."
"При липсата на официално искане за оттегляне, адвокат, вписан във федералния съд, остава отговорен, както етично, така и съгласно правилата на съда, да отговаря на всеки въпрос, който възникне.","Without a motion to withdraw, an attorney is responsible for any response."
G. Burdens of Requiring LSC หาทุนให้ทนายความเพื่อถอนจากคดีเมื่อลูกความออกจากสหรัฐอเมริกา,LSC funded attorneys can't be on cases where the client leaves the country.
"Mipango ya idara kupata ni sehemu ya mkakati wa kutengeneza rasilimali ya binadamu, inayozungumziwa katika kanuni ya nne.",Principle IV deals with capital development strategy.
Временная приостановка юридического представительства во время отсутствия клиента при продолжении иска не является возможной альтернативой формальному выходу из дела.,It's not good to stop legal representation.
مالی سال 2000 کانگریس اور امریکی ٹیکس دہندہ کے لئے بہت سارے فائدہ کی ایک بڑی سال GAO کے لئے کامیابی اور کامیابی کا ایک زبردست سال تھا.,2000 was great for Congress.
"Wenn kein Schwellenwert angenommen wird, wie es oft der Fall in epidemiologischen Studien ist, kann jedes Expositionsniveau eine Null-Risiko-Antwort für mindestens eine Schicht der Bevölkerung darstellen","If you assume there is no threshold, any exposure is considered to be risk-free."
هناك حاجة ماسة لمهارات تكنولوجيا المعلومات التي جعلت التوظيف من قبل الدولة صعباً ، لذا فقد بحث هذا المدير عن بدائل لتطوير وإدارة البرامج الداخلية.,People really need good IT people.
हम लक्ष्य पर अधिक सटीक रूप से निशाना लगाते हैं और लक्ष्य को अधिक बार मार सकते हैं।,we will try to hit the target a lot.
पारे के उत्सर्जन के कारण पानी में पारा जमने लगता है।,Mercury emissions create problems with the water.
"इसके अलावा, GAO  के प्रभावशाली परिणाम और निवेश पर रिटर्न,दिए गये यह केवल GAO को संसाधन आवंटन प्राप्त करने के लिए समझ में आता है जो अन्य संघीय संस्थाओं के लिए औसत से ऊपर है।",GAO is an entity that requires an allocation of resources.
"Mwishowe,wiani wa posta unaonekana kuwa dereva muhimu  kitengo mtaani.Gharama yake ni mingi kuliko Ufaransa na Marekani.",Postal density impacts delivery costs more than volume.
"İş Sonuçlarında Değer Yaratan, Müşteri Odaklı Bir Ortak Olmak İçin",Partners can be customer-focused in their business.
另外，要明确订立数据的局限性，以便不会从数据中得出不正确或非刻意提取的结论。,it's important to show the limits of the data.
"Enfin, si les données que vous avez évaluées ne sont pas suffisamment fiables, vous devez inclure cette constatation dans le rapport et recommander que l'entité auditée prenne des mesures correctives.",The audited entity can take corrective action to increase data reliability.
"Với quỹ hỗ trợ lập kế hoạch từ LSC, Bar Foundation đã thuê một nhà tư vấn để giúp Hội đồng điều phối xây dựng kế hoạch tái cấu trúc để nộp cho LSC vào tháng 3 này.",The Bar Foundation was assisted by funds from the LSC.
ستحتاج هذه الحلول إلى معالجة كل من أنواع التدخلات التي تناسب كل من الضعف الجنسي والمركز الطبي والمشاكل المحددة للمريض.,There are several types of interventions that might suit each ED.
"Деловые предприятия используют это устройство для создания стопроцентной дочерней компании, — сказал господин Делани, исполнительный директор   Ассоциации правоведов Нью-Йорка.",The device helps companies make subsidiaries.
"Делото на Чавес отразява констатациите от разследването на Колорадо Лигъл Сървисис, в което се съобщава, че работници-мигранти във ферми в цялата страна редовно са излагани на опасни пестициди в нарушение на федералните закони.",Chavez's case agrees with the Colorado Legal Services.
"L'assurance sociale n'inclut pas les programmes étant établis uniquement ou principalement pour les employés fédéraux, comme la pension et d'autres régimes de retraites.",Social insurance doesn't include programs that are just for federal workers.
"Bu tarz bir liste, resmi çalışanın kuponu idari açıdan onaylamasını sağlamakta (genellikle seyahat eden kişinin müdürü) ve iddiaların doğruluğunu tespit etmek için memura ek belge sunmaktadır.",The list tells who approved the voucher.
"Όταν συμβαίνει αυτό, το ταμείο που δανείζει θυσιάζει τόκους από Τίτλους του Δημοσίου στους επενδεδυμένους λογαριασμούς του και αντ 'αυτού λαμβάνει τόκο από το δανειζόμενο ταμείο για το ποσό του δανείου.",The lending fund doesn't get all the interest in some cases.
"Αυτή η χρονική περίοδος παρουσιάζεται στο Τεκμήριο Α-3 του Παραρτήματος Α. Ωστόσο, ανάλογα με τις ιδιαιτερότητες του έργου, ο απαιτούμενος χρόνος μπορεί να διαφέρει κατά μερικούς μήνες.",The Appendix A shows the time.
लेकिन आयोग किसी भी पुरानी सिफारिशों को इतनी देर तक बनाने के लिए स्वतंत्र नहीं है जितना कि संख्याएं बढ़ जाएंगी।,The commission must follow specific rules when making a recommendation.
"Eğitici bir an konsepti, şu anda sadece kavramsallaştırma olsa da, ED'de alkol müdahalesi yapma konusunda ufuk açıcı ilginin bir parçasını sağlamaktadır.",There is some reason to do an alcohol intervention in the emergency room.
Пощенската служба е по-уязвима от другите административни отдели в пощата при криминалниобири.,Cream skimming is something that the Postal Service is vulnerable to.
हमारे आरंभिक पर्यवेक्षणों से पता चलता है की जीपीआरए प्रदर्शन रिपोर्टों के अधिक उपयोगी रहने की संभावना है अगर वे,The usefulness of GPRA reports might be increased.
"Bao gồm cả các chuyến thăm phòng cấp cứu trong một phân tích lợi ích đã xem xét nhập viện, chẳng hạn, sẽ dẫn đến việc tính hai lần một số lợi ích nếu việc nhập viện vào danh mục bao gồm các lần đến phòng cấp cứu.",Hospital admissions double count some benefits.
Kukua kwa mwili wa ushahidi kunaonyesha kwamba hatua katika idara ya dharura zina ufanisi na kwamba rufaa ya matibabu yaweza fanya kazi.,Referrals from the emergency department can work.
"Việc bảo vệ các phương tiện giao thông, năng lượng, dịch vụ khẩn cấp, dịch vụ tài chính và hệ thống truyền thông ngày càng trở nên quan trọng vì chúng phụ thuộc rất nhiều vào công nghệ thông tin.",Transportation and energy are monitored and controlled using information technology.
"11 Въпреки това, в по-трудни реконструкции, загубата на работно време може да бъде значително повлияно.",Significant down time impacts might be experienced in more difficult retrofits.
