sent0,hard_neg
“纽约时报”也不能这样说。 “泰晤士报”在关于可卡因争议的社论中建议布什诚实，让国家采取他的措施。,The Times said Bush should just lie to everone.
许多年轻捐助者的父母都是知道规则的长期政治活动家。,Parents are not involved with politics.
Steven E. Landsburg a fait preuve d'un mépris plutôt alarmant pour le bon sens dans son récent article Tax the Knickers Off Your Grandchildren.,Steve E. Landsburg embraced common sense in his most recent article.
"Tuy nhiên, chỉ cần liên quan đến việc khiếu nại về sự phụ thuộc vào bạn gái, Prudie gợi ý bạn có một trái tim và một trái tim nghiêm túc với vợ mình, phác họa sự xáo trộn của bạn với những lựa chọn của mình.",Prudie says you should keep it to yourself.
"Очевидно е, че ако прецените честно, много от избраните песни на АФИ може да не са подходящи за културни интерпретации.",AFI choices can be proven historically correct documentaries and used in history classes.
"Уолкотт учился быть художником - как и отец его школьного учителя, который умер когда Уолкотт был ребенком - и Баунти его самая живописная книга, в методе и теме.",Walcott's father did not know how to paint.
Ότι συνέβη με την παραδοσιακή άκαρση προσέγγιση του στρατού να βρει έναν αποδιοπομπαίο τράγο;,There is no evidence of the military using scapegoats in the past.
مايكل لويس ، الذي أجرىت مقابلة معه حول كتابه Trail Fever ، لاحظ أن الإسكندر قام بفعل شيء لم أكن أعتقد أنه ممكن في هذه الحملة.,There are no known interviews with Michael Lewis where he discusses Alexander.
Mtazamo unaokera zaidi juu ya barabara ya New York (isipokuwa kucheza kwa uchi kwa Donald Trump na roho ya Boss Tweed) ni mtu yeyote anayeteta kwenye simu ya mkononi.,Donald Trump cannot dance.
“新闻周刊”的封面故事争辩说，北美首先被一个民族类型的彩虹联盟所占据，而不仅仅是历史教科书中普遍描述的由跨越白令海峡的亚洲人占领。,Asians are not represented in history textbooks.
ก้าวขึ้นเหยียบนิ้วเท้าขนาดใหญ่บางชิ้น,The toes are considered to be small.
"Personalmente, Prudie no es loca por la expresión novio y novia para las personas mayores de 30 años, y detesta el término amante, excepto cuando es utilizado por mujeres europeas.",Prudie dislikes the term lover under all circumstances.
เขตปกครองกรีนลี อลิซ ห้องสมุดสาธารณะเป็นตัวอย่างของเงินและเทคโนโลยีที่เลวร้ายของสถาบันในชนบท,Greenlee County is not located in the state of Arizona.
"Λοιπόν, δεν επρόκειτο να κάνω εγγραφή.",I was definitely signing up.
你知道谁会明白吗？,Do you know who won't understand?
आप ये नहीं निकाल सकते। डीएलएल फ़ाइलें जबकि विंडोज चल रहा है (जो कि माइक्रोसॉफ्ट के बिंदु का हिस्सा है),The .dll files have no impact on the Windows operating system and can be deleted whenever you want.
Những thành viên ở Học viên Quốc tế Nghệ thuật và Khoa học Số hoá đã có những bước cải tiến thông minh trên thủ thuật này.,The people at the school just followed their lead.
کون سا کیمپ صحیح ہے بہت سےعام عوامی صحت کے نتائج ہیں.,Public health consequences are not related to any camps.
"Ubunifu huo wa uchumba uliendelea kwa miaka mitatu, ukawa zaidi ya rococo.",The insanity only lasted for a day.
让我通过提前回答我知道我会在电子邮件中被问到的问题来收尾，即：你真的是认真的吗？,"I know that I have answered each and every question, and there are no more questions to answer."
或者考虑向国会通报秘密行动的问题。,Congress cannot be informed about covert actions.
"Nemeth versprach, das betreffende Motel zu untersuchen.",Nemeth said he wouldn't investigate the motel.
"ในวันพุธ, คลินตันเลือกที่จะพูดคุยเกี่ยวกับอุตสาหกรรมที่แตกต่างกัน",Clinton refused to talk.
Το κόλπο είναι να με σκέφτεσαι λιγότερο ως τον νέο σερίφη στην πόλη και περισσότερο ως μία από τις νταντάδες των παιδιών του von Trapp που σκοτώθηκαν πριν από τη Maria.,I take a law and order approach and demand you respect my authority as sheriff.
Peu importe si la moyenne du Dow Jones industriel est le bon indicateur pour savoir comment se porte les riches.,The Dow Jones isn't connected to the economy.
"Die auffallendste Implikation der CMP-Theorie ist, dass die Sorge um die relative Position in Gesellschaften verschwindet, in denen Partner durch andere Mechanismen als Reichtum zugeordnet werden.",The CMP theory is about kites.
"Henry Louis Gates ve Cornel West gibi siyahi liberal profesörler, ırkların bütünleşmesini dair inancı koruyor. Doğrulayıcı hareketi gerekli bir politika olarak desteklemek için safını değiştiren muhafazakar siyahi iktisatçı Glenn Loury de onlara katılıyor.",Glenn Loury is a street sweeper.
กองมรดกนั้นเป็นการสืบมรดกแบบไม่มีที่สิ้นสุดการโกงหรือไซเบอร์สเปซกับคนอื่นที่แตกต่างกันมาอ้างว่าเขามีส่วนในดอกเบี้ยเหล่านั้น,No one ever really owns property.
Wird sich in einem halben Jahrhundert noch irgendjemand an die Welthandelsorganisation erinnern?,The longevity of the World Trade Organization is secure for the next century.
Възможностите не са токова привлекателни.,All options are irresistible.
Заказал бы я набор для себя?,Would I ignore the set?
Будущее грозит проблемами для SAT.,The SAT is timeless and there will be no trouble in the future.
لا يزال على قيد الحياة في الثالثة والتسعين، دي كوونينج الآن ليس بفنان ولا راكب أمواج بالقناة.,De Kooning ended up dying at 72.
"Yine de bunların hiçbiri şimdiki cazibeye, lükse sahip değil.",There is much current appeal with these.
ไม่ใช่ความผิดของนาโอมิหมาป่าตอบ,Naomi Wolf's answers were all correct.
"Трето, дори ако приемем заключенията, те не се отнасят за всички големи развлекателни места.",The conclusions are tied to the venues.
"Das Programm Lehrer des Jahres wird von Scholastic Inc. gesponsert, das unter den leicht beeindruckbaren Schulkindern am besten bekannt ist für die coolen Magazine, deren exklusiver Werber die USA ist.",School children have no teachers.
"एक वाइस के रूप में समलैंगिकता की छवि को दबाने के लिए, क्लिंटन और बिर्च ने समलैंगिकों को नैतिकता की दुहाई दी।",Clinton and Birch are trying to suppress homosexuality.
"Много от предложенията ти включват действия, които, макар и забавни и жестоки, не са незаконни, а малко вероятни (повечето хора биха били прекалено уплашени да го вдигат, докато маймуната е в стаята.)",Your actions are outright illegal.
"Иногда этот личностный процесс возмужания или саморазрушения (выбирайте сами) усиливается тем, что происходит в культуре.","Nothing that's happening in the culture today supports this personal process, whatever you choose to call it."
и кликнете на Актриса. Там сами ще откриете ...,You are a man.
Newsweek ejecuta una diatriba lamentando la ostentación de los Hamptons.,Newsweek has never written anything about the Hamptons.
"Ο ήρωάς μου, όμως, είναι ο Richard Heseltine, πρόεδρος του Overseas Investment Trust, ο οποίος παραιτήθηκε αυτό το μήνα λόγω της αντίθεσής του με το επιχειρηματικό σχέδιο που του επέβαλαν οι ανώτεροί του.",Heseltine has no plans to retire.
Bài viết của Stevenson cho thấy sự thiếu hiểu biết cơ bản về điều mà chiến dịch của chúng tôi đòi hỏi.,Stevenson's article details his in-depth understanding of the complicated workings of our campaign.
Оно находится в тени лавра (дерева Аполлона).,It sits in broad daylight under the sun.
我不是第一个注意到的世界历史的基本走向是相互依存。,"As I am the last to note, the flow of world history is towards a more solitary existence."
असली शोर युवाओं केलिए आकर्षक और बुढ़ाओं केलिए भयानक होता है ।,Real noise appeals to the old.
Научните изследвания също пренебрегват простите истини за мозъчната химия.,The study takes into account facts about brain chemistry.
"Мы настолько привыкли слышать, как американские компании жалуются на иностранную конкуренцию, что обвинения, которые выдвигает Kodak после своего поражения, воспринимаются как очередной скулеж.",U.S. companies react favorably to foreign competition.
Tu lui accordes trop d'importance.,You aren't making enough.
"Dowd'ın köşe yazarı olarak çalışmalarının özü, özellikle de ona Pulitzer'i kazandıran Flytrap parçaları, kendi kendini cezalandırmanın şimdiye kadarki en parlak örneklerinden biridir.",Dowd has never and will never write anything that could be construed as boomer self-castigation.
"Ob diese Kombination von Fakten und Spekulationen Anlass für Protestdemonstrationen ist, ist Geschmackssache.",The combination of facts and speculation is grounds for protests.
"Các phương tiện truyền thông hoạt động theo chu kỳ, do đó, chú cá hiện đang bơi trong bụng của những vị vua truyền thông có thể sẽ không ở lại đó lâu đâu.",Media conglomeration is linear.
La Maison Blanche va-t-elle se raviser ?,The White House has made a decision.
Urusi inakumbana na changamoto za vita ya Chenchen.,Russia is facing diminishing challenges due to the Chechen war.
Регламенты FDA не затрудняют покупку сигарет взрослыми.,FDA regulations have made it almost impossible for adults to buy cigarettes.
"Bitiş teorileri, yaşları sona eren veya sona erecek ve tekrarlamayacak olan ayırt edici özellikleri olan yaşları tanımlar.",There are no theories.
تعقد تايم مقابلة مع ديبرا إيبن، الأم الملكومة في قضية جليسة لويس وودوارد.,Time interviews John Handcock.
"Hadithi ya kifuniko inayoonya kuwa mbuga za kitaifa za Marekani zinaharibiwa na msongamano, ufadhili usiotosha, uvamizi na aina ya mimea na wanyama wa kigeni, na maendeleo ya kibiashara.",The national parks are always empty.
在回基地的时候，一个人把车停在拉汽车之家-还有哪里呢？,"Once one leaves the base, they are never allowed to return again."
"Người ta có thể tưởng tượng tới cảnh một người lái xe ủi đất đang lê lưỡi ủi trên đường cho một sự phát triển mới được ca ngợi bởi nhà phát triển    Này, Loyd…",You cannot imagine a bulldozer operator.
"Tôi báo cáo điều này trong một lá thư gửi cho Tiến sĩ     nó dường như khiến anh ta thích thú, và anh ấy đã gửi cho tôi một loại bánh trái cây nhỏ vào Giáng sinh.",The doctor sent me a bottle of wine that Christmas.
"Отборът преди е бил известен със запомнящото се наименование Beaneaters, което по един любопитен начин може да се счита и за индиански псевдоним.",The team has only ever had one name.
"Es wird grundlos davon ausgegangen, dass Jiddisch...",It is rudely never considered that Yiddish...
اور میں آپ کے تبصرے کے ساتھ صفحہ 19 پر ہمدردی کرتا ہوں:برنرین کا پہلا قانون ٹیکسٹریشن کے کسی بھی جسم میں کم سے کم ایک غلطی ہے کہ اس کے مصنف نے براہ راست تین گنا پڑھا ہے.,Writers are very meticulous; not a single error passes unnoticed under their eyes.
Ich konnte keine solche Definition im Thesaurus finden.,I found the definition in the thesaurus.
كيف يمكن للمرء أن يفعل ذلك؟,How can many people do nothing?
"Более того, оно содержит только термины, которые возникли в Двадцатом Веке, согласно предисловию, но опускает военный сленг начала 20 века.",It has all of the slang contained in it from the beginning of time.
إذا حصل أحد على نسخة 1984، قد يكره شراء هذا الكتاب بدلاً من ملخص (وأقل تكلفة).,The book is not for sale.
"Man könnte argumentieren, dass phonemisch nicht phonetisch geschrieben werden sollte, aber Phoneme verändern sich ebenfalls, wenn auch langsamer.",Phonemes do not ever change over time.
Split Ends Магазин косметики - хороший пример элегантного приложения в сочетании с эвфемизмом в приложении и скромного или нешаблонного начала.,Split Ends is an ice cream shop.
बर्नस्टीन भूमिका में समझाते हैं,Bernstein only explained it in the conclusion.
اگر آپکو کوئی عجیب(مسوری) نام میں یا وہ جو آپ کے لیے حیران کن (نیبراسکا) ہوں، تو ان کو لکھ کر (ٹیکساس) محفوظ کر لیجئے(ٹینیسی) جب تک کہ وہ غلط نہ ہوں (مسیسیپی)۔,Nebraska doesn't have any cities with funny names.
حالیہ برسوں میں خواندگی اور اعداد و شمار میں مہارت بہت بڑے مسائل کے طور پر ابھر کر سامنے آچکے ہیں‏، نہ صرف تیسری دنیا میں جیسا کہ صنعتی ممالک میں ہوتا ہے بلکہ (اس سے بھی زیادہ)۔,Industrialized nations experience no problems with illiteracy.
"yah sujhaav nahin diya jata hai ki in vishayon par rok-tok lagaya jaye, keval itana hai ki kuchh bees varshon ke baad bhee yah ek baaharee vyakti ke liye mushkil ho jaata hai ki vah unke baare mein bahut majedaar batein jane.",Humor is generally one of the easiest things for outlanders to understand.
"Finalmente, uno debe desconfiar de la elongación que conlleva un significado claramente diferente.",Elongation is a great way to ensure that the meaning of a statement is clarified.
"Одним из факторов, который М. Тесниарес не учел, является англо-саксонский вклад.",M. Tesniares performs Anglo-Saxon input.
Étourdissez-vous la tête avec la chaleur.,Applying heat to a person's head is a good way to improve their focus and concentration.
कोई अन्य पेशे इतनी समृद्ध नहीं है कि आत्म-विमूल्यन कि परंपरा हो।,Many professions have traditions of self-deprecation.
"И эти оборванцы, получившие уничижительные клички среди местных, употребляют эти клички даже с нотками некоторой гордости в личной переписке, во время общения в барах и в неофициальных резюме.",The papers have no reputation at all.
Ако лека/светла просто описва характеристика на бирата (напр.,Lite and light are only used to describe wines and whiskey.
香草，从一种热带植物的豆荚中提炼，名字借用西班牙语vanilla，代表花、豆荚和味道。,Vanilla is named after a Dutch word.
Το φτωχά υπερτιμημένο ουσιαστικό χρησιμοποιήθηκε ακόμη και όταν ούτε αυτό ή οποιαδήποτε άλλη εναλλακτική λύση χρειαζόταν.,The noun should be used more.
นอกเหนือจากนี้แล้ว เรามีข้อเท็จจริงทีไม่น่ายินดี บางครั้งการเขียนที่มีคารมนั้นต้องเป็นที่ประทับใจจริงๆสมทบกับปัญหา,People are much more likely to remember poor writing.
"На ранчо вы можете услышать, как кто-то сказал: Сегодня мы должны сократить эти ручные рули. Это значит, что нужно выбрать те, которые будут отправлены.",People do not speak on ranches.
في مواجهة هذا الموقف وما إلى ذلك، اعترف البريطانيون باحترامهم من خلال استغلال الكلمة.,The British had no respect.
اصل جانور استعار سبھی ہوتے ہیں لیکن الفاظ میں ان الفاظ کو منسوخ نہیں کرتے ہیں جو جانوروں سے کوئی تعلق نہیں رکھتے ہیں.,Animal metaphors are plentiful.
Понякога това е и най-подлият.,It was always very easy to detect from any distance.
Sự kết hợp giữa tên tiền với các trọng số khác là ouguiya (Mauritania) có nghĩa là 'ounce.,Ouguiya is translated a 'kilogram' and is used only as a unit of weight measurement.
"Ако някога пиша автобиография, тя ще бъде с имена на места от речника и хора, определени от гледна точка на лично значение.",It is important to me that my autobiography is accessible as possible.
"Ein neues Morphem überlebt die Originalität seiner ersten Innovationskraft ( wie Telethon für -athon), weil es sich als nützlich zu erweisen scheint, vor allem durch Zufall, und weil es etwas Neues in das Idiom bringt.",New word are chosen by a language committee and their use is mandatory.
"Ω, εσείς και οι πνευματικοί σας αντίπαλοι και τα bons mots..",Conversations with you are fairly simple and witless.
"[ In aller Gerechtigkeit, es muss gesagt werden, dass Herr Zimmer sobald er sein Versteck erfuhr schrieb dass er sich auf den Bummel als ein Fluss bezog.",Mr. Room refused to consider the idea that the Bummel might not be a river.
"(' Στις σχολικές αυλές, ο μεγάλος θόρυβος - hubbub - σταματάει.",Of late there has been an increase in the noise levels in the school patios.
كما يحدث ، طبعا ، هناك لهجات إنجليزية في بريطانيا واضحة أكثر منها في أمريكا الشمالية ، ويعرف أي شخص قضى وقتا ما في الإستماع إليها أن بعضا منها غير مفهوم بشكل متبادل .,"North American and British dialects are exactly the same, and people can't distinguish any difference between them."
"'टेनेसी के एक मुखबिर ने' गर्म, बारिश के मौसम के लिए कुत्ते के मौसम का इस्तेमाल किया ', जिससे यह पता लगता है कि गर्म मौसम के लिए कुत्ते के दिनों का प्रयोग किया गया है।","According to the informant, dog weather was used to describe seasonal monsoon rains."
"Una alternativa a una expresión dispreferida, a fin de evitar la posible pérdida de la propia cara o, a través de una ofensa, la del público o de un tercero.",In order to seek loss.
"C'est une façon de dire, je suis un hors la loi, un homme de la montagne!","In other words, it means that I abide by the law at all times."
"Эти вещи не зависят от человека, тогда как стиль - это сам человек.",A person's true self is revealed by concrete facts.
"Mola, biftek ama kasvetli ve çizgi de.",Do not say break.
举个例子，diagnosis 这个词借鉴于希腊文字（而这个词正巧，也不是同一个意思）；两百年后，运用逆生法，动词diagnose 就被造出来了。,There is evidence to suggest that diagnosis was borrowed from Latin.
"j'espère vivre jusqu'à l'année 2000 afin de participer au Guide Yiddish. je suis sûr que le Yddish sera toujours là, survivant ses détracteurs, comme il a été pendant des milliers d'années.",I'm sure the Yiddish culture will unfortunately be lost by the year 2000.
یہ کہا گیا ہے، مکمل طور پر مزاق کرتے ہوۓ نہیں، کہ اگر جاپانیوں کو لازمی طور پر ہر انگلش لفظ جو انہوں نے استعمال کیا ہے کی لائسنس فیس ادا کرنے کا کہا  جاتا تو ان کی تجارت کی بچت غائب ہو جاتی۔,The Japanese are known for their efficient use of English.
ایسے بولنے والے جو اپنے ناظرین کو متاثر کرنا چاہتے ہیں وہ جانتے ہیں کہ وہ اہم پوائنٹس اور حقائق کو ٹیلگراف کرنا چاہتے ہیں، پھر ان کا اعلان کرتے ہیں، پھر دوبارہ، ڈرامیٹائز کرنے، بیان کرنے اور منحل کرتے ہیں.,Speakers who want to impress their audience should speak accurately and not repeat themselves.
"Thật là tò mò để lưu ý rằng các điều khoản không xuất hiện trên danh sách bao gồm học chậm, khuyết tật thần kinh, chấn thương não, và khuyết tật giáo dục.",The list was quite comprehensive and included all known disabilities.
Η Εφημερίδα του Πανεπιστημίου του Κέμπριτζ θεωρείται κατάλληλη για να τιμήσει τη 200ή επέτειο ζωής του Johnson από τον Boswell με μια συλλογή δεκατεσσάρων δοκιμιών για τον βιογράφο και το θέμα του.,The Cambridge University Press will honor the 200th anniversary of Life of Johnson with an 8mm film.
तीसरे समूह के शब्द उपयोग में सबसे आम होते हैं जो मूलतः यौन कृत्यों को परिभाषित करते हैं।,They don't have words to describe sex.
لا يمكن تغيير بعض الأسماء رغم بغضها,"Due to worries about political correctness, all potentially objectionable names were altered."
"Kama mimi Msikoti wa majivuno, ninahisi kuwa sababu kubwa ya hii maanzilishi ya ukosefu wa tamaa ya kilugha inapatikana kwa majimbo ya kinyumbani.",The Scottish language is known to be highly ambtious.
"Uluslararası Fonetik Alfabenin neden bütün İngilizce sözlüklerde kullanılmadığını asla anlamamışımdır, ancak bu incelemedeki görüşlerimizin kapsamı dışındadır.",I have never heard of the International Phonetic Alphabet and don't know why it would be included in a dictionary.
(a) เปลี่ยน d แต่ละตัวหรือ t ในเป้าหมายเป็น c,Each c in the target should be changed into a d.
'ایک اور مثال وی آئی پی' کے واسطے آتا ہے,VIP is not an example.
คำว่า Grammar และ glamour เป็นคำคำเดียวกันในทางประวัติศาสตร์,Grammar and glamour have never been related to each other.
"hamesha ki tarah, prathna karte vakt mein ghutne taik kar apne mastak  ko apne saamne rakhe lakadi ke patiye par tika kar khud ke baare me soch raha tha, mein thoda sharminda hua.",I kept my head held high.
"यदि विशेषण जातीय पदों को मृदु करते हैं, तो संज्ञाएं उन्हें सख्त बना सकती हैं।",Verbs are the only means of expressing ethnic terms.
"Τίποτα δεν τονίζει πιο εντυπωσιακά τις λεπτές πολυπλοκότητες της γλώσσας από τις ανακριβείς επικοινωνίες που γίνονται μεταξύ πιλότων, μελών πληρώματος και ελεγκτών εναέριας κυκλοφορίας.",Pilots are always perfect communicators.
Certaines des entrées lexicales de ce livre sont discutables,The impeccable lexical elements of this book made it a joy to read.
"In modernen französischen Romanen, in denen es um militärische Erfahrungen geht, kann man unter Umständen darauf stoßen, wie ein Soldat seinen Kumpels Allons, les gars vorschlägt.",French novels are all about food and romance.
Một trong những từ mới nhất để nhập vào Chu kỳ viết tắt của cuộc đua thừa là Missouri. Trạng thái Show-Me đã đạt được thiết lập vào năm 1821.,"Up to this day, Missouri is not considered a US state."
"l'abstinence, après-tout, est une vertu, ou tout du moins disent ceux sur qui elle n'est pas imposée.",Continence is considered a vice by those who do not have it imposed on them.
"En un libro tratando con un tema de este tipo uno debe ser extremadamente cuidadoso para adherirse a definiciones rígidas de los términos clave (eufemismo, disfemismo, tabú, etc.) y no desviarse de ellos.",The book just explains what the house looked like.
"И като знаем, че професор Хъни има право, когато пише за",We know that Professor Honey is incorrect according to his writing.
"Η Lil Armstrong, η οποία ήταν πιανίστρια της εποχής, αυτοσχεδίασε την απάντηση, αυτό ονομάστηκε Muskrat Ramble. Έτσι δεν είναι, Red;",Without a written score the pianist was unable to continue the song.
Следващата седмица моят племенник ме помоли за акустична китара за рождения си ден.,What my nephew really wanted for his birthday was a banjo.
"रक्त और बाढ़ भोजन की तरह नहीं होते हैं,",Food is exactly like blood and flood.
إن إحدى الظواهر اللغوية التي ظهرت خلال المائة عام الماضية أو نحو ذلك هي قبول الفكرة القائلة إن إحدى الخطوات المهمة في حل المشكلات تكمن في تسمية هذه الظواهر.,"It is generally agreed that there is no point in naming a problem, because it wastes time while new problems arise and change before solutions can be found."
"Съществуват националности и етнически групи, които са толкова самоуверени, толкова доволни от себе си, че етническите епитети или рикошират от тях като малки камъчета от слон, или биват приемани като забавни или дори декоративни.",Ethnic groups are all ashamed of themselves.
"Các từ điển tôi đã kiểm tra là im lặng - không đúng như vậy, tôi nghĩ - trên những giác quan này.",Dictionaries usually expound on these subjects at great length.
Goistering是一个奇怪的单词，用于形容笑的很大声的女性笑声；一个坏工作者被称为他的借口很可能，老劳伦斯今天抓住了我！,Goistering refers to a baby's laugh.
"Той го римува с пандемониум; съдейки по съдебните дела, които се водят за паркоместата на етажната собственост, барбекютата по балконите и домашните любимци в коридорите, може би е бил прав да използва неологизма.",There was nothing it could rhyme with.
"Cô khăng khăng rằng anh bay về nhà có nghĩa là Cô ấy muốn anh ta bay về nhà, mặc dù liệu anh ta có thực sự thực hiện hay không sẽ được tiết lộ trong chương sau.",She told him to stay away from home because it was not safe.
"Kendinizi, bir grup smokinli garsonun etrafınızda pervane olduğu seçkin bir restoranda aperitif yudumlamak gibi  alışılmadık seçkinlikte ortamlarda bulduğunuzda, bu ifadeye başvurur ve bu ifadeyi kullanırsınız.",This phrase is used in the roughest and most casual of situations.
"Το 1972, η Miller Brewing Co. της Phillip Morris, Inc. εξαγόρασε την ετικέτα της μπύρας Lite σε εξαγορά της Meister Brau Inc.","Phillip Morris, Inc.'s Miller Brewing Co. decided it didn't want the Lite beer label as part of the deal to buy out Meister Brau Inc., and discontinued the product."
"[XVIII, 4] đề cập đến huevos trong ý nghĩa tiếng lóng của nó, 'quả bóng', không phải nghĩa đen của nó, 'trứng.",Huevos does not mean balls.
schlock `shoddy สินค้าที่ผลิตมาในราคาถูก,Well made and original merchandise.
"बिना किसी सफाई  के ,जो जानकारी फ्रांसीसी उपनाम  से है वह मुझे बहुत ही कम दिलचस्प लगता है|",The French word Surnom meaning surname is purely unremarkable regardless of any explanation.
"पश्चिमी पाठकों का डर, उसने एक संदर्भ में अमेरिका को दफनाने की धमकी दी थी ।",He did in fact threaten to bury America several times.
รุ่นของนาย Kaplan ส่วนใหญ่มักจะเสียชีวิตไปหมดแล้วและลูกหลานของพวกเขากลายเป็นชาวอเมริกัน,All of Mr Kaplan's generation still lives today.
في بعض الأحيان عليك أن تؤمن بأن جميع متحدثي اللغة الإنجليزية يجب عليهم اللجوء.,English is a very logical and consistent language.
"Vipengele kumi na viwili vimekusanywa chini ya majarida ya jumla ya mfululizo wa ujibu, majibu ya wasikilizaji na mawasiliano, na wasomaji wenye shukrani wamefanikiwa kitofauti katika kushughulika na somo hilo.",There are only three articles.
Kulaani na kuapa kwa Kihispania ni uvumbuzi-- echar sapos y culebras maana halisi 'kutupa nje vyura na nyoka., Echar sapos y culebras means to throw out frogs and snakes in French.
"196), örneğin, asıl lingua franca'nın (İtalyanca, Frenk dilinin) melez bir dil olduğunu öğreniyoruz.",Languages can never be combined.
từ khi bắt đầu con người phải có tên để xác định chính họ.,"Before there was language, in the times of the beginning people, it was impossible for people to determine Jim from John."
قبل المتابعة، قد يرغب القارئ في تجربة هذا العمل الفريد أيضًا.),The reader should proceed without attempting the pointless feat.
επιδότηση μιας μορφής ζητιανιάς στην οποία οι συμμετέχοντες είναι πολύ καλά ντυμένοι.,Nobody ever begs for money while wearing nice clothes.
وبهذه الطريقة ، غالباً ما يتعلق تهجئة الكلمة بكلمات أخرى تنتمي إلى نفس الصيغة، أو إلى تاريخها الخاص.,The spelling of a word is just tied to the person who invented it.
"En réponse à l'appel de Richard Lederer à participer au concours de la phrase complexe de onze mots la mieux tournée et la plus cohérente [The Glamour of Grammar, XVI,4], je soumets",Richard Lederer hates reading graceful or coherent writing.
Непреднамереното пропускане на дефис от масата кодирани математически възходящи указания.,Mathematical instructions written for computers never contain errors.
"En cierto sentido, parece ilógico que hayamos conservado la ortografía histórica para las obras de Spenser, pero utilicemos ortografía moderna para los títulos de obras de teatro de su contemporáneo, William Shakespeare.",We only use the historic spellings.
Δύο σύμβουλοι βιβλιοθηκονόμοι ήταν απορημένοι για το πώς να ξεκινήσει μια αναζήτηση.,The two reference librarians are experts in research and performed the needed search instantly.
"Hiçlikten hiçlik gelir, dedi Lucretius iki bin yıl önce, ve totolojistler de onu haklı çıkardı.",The arguments made by Lecretius have been proven incorrect by tautologists.
"Старомодный вкус, не так ли?","Seems somewhat like the ideas of reformation and change making, does it not?"
"Peu après mon arrivée sur le continent européen, j'ai cherché à acheter des bas nylon pour une amie.",I had lived my whole life on the Continent.
ชื่ออย่างเป็นทางการของมันคือ Flavian ของผู้สร้างครอบครัวของจักรพรรดิVespasian,No one knows how the Flavian Amphitheater got its name.
"Когато Алис възрази, Но това е друг вид устойчивост, той отговори, Всякакви видове устойчивост имаше при мен, мога да Ви уверя!",Alice agreed with all of it.
ตามทางลำธารน้ำมัน ชาวอินเดียนได้ตักน้ำมันที่ลอยบนผิวน้ำออกเพื่อนำไปใช้ในชุมชน และผู้ตั้งถิ่นฐานผิวขาวได้บรรจุมันลงในขวดเพื่อวัตถุประสงค์ทางการแพทย์และเรียกมันว่าน้ำมันซีนีค่า,Nobody ever used the oil from Oil Creek.
แน่นอนว่าข้อผิดพลาดทางการพิมพ์ทั้งหมดควรจัดว่าเป็นการพิมพ์ตามแรงจูงใดจากจิตใต้สำนึกที่ซ่อนในส่วนของผู้เรียบเรียง (หรือผู้พิมพ์),Typesetters and typists never make typographical errors.
"El lingüista que escribe libros parece invariablemente ser un eruito que pregona sus propios puntos de vista, algunos de los cuales, como mínimo, están muy escondidos.",Most linguists write books in order to evangelize others' opinions.
Pulse-tone si msemo wa kiufundi.,The official technical manual states that pulse-tone is the correct term in this case.
Bạn có nhìn thấy bất kỳ người chăn cừu nào trên Broadway gần đây hoặc thậm chí được nhắc đến trong tờ Thời Báo New York không?,Broadway is all about the shepherds!
"Един от сегментите на въоръжените сили е строителният батальон, който бързо е бил съкратен до СБ.",The Construction Batallion is an independent organization not associated with the armed forces.
"Skeat ne va pas, dans ce cas, ignorer cette note et répéter l'offense à l'avenir.",Skeat isn't going to pay any attention to the note.
"ट्रेडमार्क कानून, जो एनोटेटेड यूएस के दो से अधिक संस्करणों को भरता है |",There are no laws or regulations surrounding trademarks.
"इसलिए, मैं नेग्रो शब्द को नश्लवादी शब्द के रूप में अस्वीकार करने के साथ सहानुभूति कर सकता हूं।",I don't understand why they don't like the term Negro.
"Herr Nields antwortete, es macht mir nicht aus, den Ausdruck langatmige Aussagen zu verwenden.",Mr. Nields hated saying that!
"Για παράδειγμα, ένας πρόεδρος του προγράμματος προετοίμασε εν συντομία μερικές επαινετικές εισαγωγικές παρατηρήσεις για ..",Nobody prepared any introductory remarks.
"Дебора Камерън и Дебора Хилс (Слушайки: водещи разговори между слушатели и водещи на програмите за радио-телефони) са изучавали програмата на Радио ЕлБиСи, лондонски радиоканал за дискусии, който аз слушам с интерес.",I don't own a radio and have no interest in listening to radio programmes.
这样的作品无疑会给人留下这样的印象：弦乐部分突然令人振奋。,"The string section was the only thing that remained after the fire, so obviously the fire started in another section."
"Με άλλα λόγια, αυτό που συμβαίνει είναι κάτι σαν το τώρα-με-βλέπεις-μετά-όχι, ταχυδακτυλουργικό ενός μάγου.",It's very obvious what happens.
"Scars of Venus - Ein Auschlag, welcher durch sekundäre Syphilis hervorgerufen wird.",There are no symptoms of syphilis.
"Μια διαφήμιση στη Gazette της Rivington της Νέας Υόρκης, στις 6 Οκτωβρίου 1774, ήθελε έναν νεαρό άνδρα να γνωρίζει την φύλαξη βιβλίων με την ιταλική μέθοδο και έναν άλλον που ήταν κάποιος, που θέλει ένα μέρος.",The Gazette was the news paper in Mexico.
